央视,#genre#
中国教育4台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225783

CCTV-1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-2财经,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-5体育,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV-5+体育赛事,http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
CCTV-6电影,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV-7国防军事,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV-8电视剧,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV-9纪录,https://tv.bfsu.edu.cn/hls/cctv9hd.m3u8
CCTV-10科教,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV-11戏曲,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV-12社会与法,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV-13新闻,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV-14少儿,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV-15音乐,https://tv.bfsu.edu.cn/hls/cctv15hd.m3u8
CCTV-16奥林匹克,https://tv.bfsu.edu.cn/hls/cctv16hd.m3u8
CCTV-17农业农村,https://tv.bfsu.edu.cn/hls/cctv17hd.m3u8

CCTV-1综合,https://www.shqsy.com/tv/zb/mg.php?id=CCTV1
CCTV-2财经,https://www.shqsy.com/tv/zb/mg.php?id=CCTV2
CCTV-3综艺,https://www.shqsy.com/tv/zb/mg.php?id=CCTV3
CCTV-4中文国际,https://www.shqsy.com/tv/zb/mg.php?id=CCTV4
CCTV-4欧洲,https://www.shqsy.com/tv/zb/mg.php?id=CCTV4欧洲
CCTV-4美洲,https://www.shqsy.com/tv/zb/mg.php?id=CCTV4美洲
CCTV-5体育,https://www.shqsy.com/tv/zb/mg.php?id=CCTV5
CCTV-5+体育赛事,https://www.shqsy.com/tv/zb/mg.php?id=CCTV5p
CCTV-6电影,https://www.shqsy.com/tv/zb/mg.php?id=CCTV6
CCTV-7国防军事,https://www.shqsy.com/tv/zb/mg.php?id=CCTV7
CCTV-8电视剧,https://www.shqsy.com/tv/zb/mg.php?id=CCTV8
CCTV-9纪录,https://www.shqsy.com/tv/zb/mg.php?id=CCTV9
CCTV-10科教,https://www.shqsy.com/tv/zb/mg.php?id=CCTV10
CCTV-11戏曲,https://www.shqsy.com/tv/zb/mg.php?id=CCTV11
CCTV-12社会与法,https://www.shqsy.com/tv/zb/mg.php?id=CCTV12
CCTV-13新闻,https://www.shqsy.com/tv/zb/mg.php?id=CCTV13
CCTV-14少儿,https://www.shqsy.com/tv/zb/mg.php?id=CCTV14
CCTV-15音乐,https://www.shqsy.com/tv/zb/mg.php?id=CCTV15
CCTV-17农业农村,https://www.shqsy.com/tv/zb/mg.php?id=CCTV17

CCTV-1综合,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV-2财经,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV-3综艺,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008883/bestzb/index.m3u8
CCTV-4中文国际,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV-5体育,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008885/bestzb/index.m3u8
CCTV-5+体育赛事,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031127/bestzb/index.m3u8
CCTV-6电影,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008886/bestzb/index.m3u8
CCTV-7国防军事,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031104/bestzb/index.m3u8
CCTV-8电视剧,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008888/bestzb/index.m3u8
CCTV-9纪录,http://mcr.sakuramoe.dev:5000/TVOD/1000000001000014583/ystenlive/index.m3u8
CCTV-10科教,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000012827/bestzb/index.m3u8
CCTV-11戏曲,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031106/bestzb/index.m3u8
CCTV-12社会与法,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031107/bestzb/index.m3u8
CCTV-13新闻,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031108/bestzb/index.m3u8
CCTV-14少儿,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006673/bestzb/index.m3u8
CCTV-15音乐,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031109/bestzb/index.m3u8
CCTV-16奥林匹克,http://mcr.sakuramoe.dev:5000/TVOD/5000000008000023253/bestzb/index.m3u8
CCTV-17农业农村,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000268004/ystenlive/index.m3u8
CGTN,http://mcr.sakuramoe.dev:5000/TVOD/7745129417417101820/hnbblive/index.m3u8
CGTN阿拉伯语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280001/ystenlive/index.m3u8
CGTN俄语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280004/ystenlive/index.m3u8
CGTN法语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280003/ystenlive/index.m3u8
CGTN纪录,http://mcr.sakuramoe.dev:5000/TVOD/7114647837765104058/hnbblive/index.m3u8
CGTN西班牙语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280002/ystenlive/index.m3u8
中国教育1台,http://mcr.sakuramoe.dev:5000/TVOD/5000000002000002652/bestzb/index.m3u8
中国教育2台,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000047/hnbblive/index.m3u8
中国教育4台,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031126/bestzb/index.m3u8

CCTV-1综合,http://ms.fxim.net:808/hls/1/index.m3u8
CCTV-2财经,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-3综艺,http://ms.fxim.net:808/hls/3/index.m3u8
CCTV-4中文国际,http://ms.fxim.net:808/hls/4/index.m3u8
CCTV-5体育,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV-5+体育赛事,http://ms.fxim.net:808/hls/13/index.m3u8
CCTV-6电影,http://ms.fxim.net:808/hls/6/index.m3u8
CCTV-7国防军事,http://ms.fxim.net:808/hls/7/index.m3u8
CCTV-8电视剧,http://ms.fxim.net:808/hls/8/index.m3u8
CCTV-9纪录,http://ms.fxim.net:808/hls/9/index.m3u8
CCTV-10科教,http://ms.fxim.net:808/hls/10/index.m3u8
CCTV-11戏曲,http://ms.fxim.net:808/hls/11/index.m3u8
CCTV-12社会与法,http://ms.fxim.net:808/hls/12/index.m3u8

CCTV-1综合,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8
CCTV-2财经,http://jf.jxx2023.work:40446/tsfile/live/0002_1.m3u8
CCTV-7国防军事,http://jf.jxx2023.work:40446/tsfile/live/0007_1.m3u8
CCTV-9纪录,http://jf.jxx2023.work:40446/tsfile/live/0011_3.m3u8
CCTV-10科教,http://jf.jxx2023.work:40446/tsfile/live/0010_1.m3u8
CCTV-12社会与法,http://jf.jxx2023.work:40446/tsfile/live/0012_1.m3u8


卫视,#genre# 
北京卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226450
东方卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226345
浙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226339
江苏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226310
湖南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226307
广东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226248
深圳卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226313
东南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226341
吉林卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226397
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
山东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226456
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549
辽宁卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226546
江西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226344
河北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226406
河南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226480
海南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226465
湖北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226477
贵州卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226474
重庆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226409
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444
黑龙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226585
内蒙古卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225634
宁夏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225632
山西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225624
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635
甘肃卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225633
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638
陕西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225625
青海卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225628
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226433
延边卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226516
兵团卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226439
康巴卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225660
安多卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225659

北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
西藏卫视,http://iptv.huuc.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://iptv.huuc.edu.cn/hls/nmtv.m3u8
青海卫视,http://iptv.huuc.edu.cn/hls/qhtv.m3u8
厦门卫视,http://iptv.huuc.edu.cn/hls/xmtv.m3u8
新疆卫视,http://iptv.huuc.edu.cn/hls/xjtv.m3u8
云南卫视,http://iptv.huuc.edu.cn/hls/yntv.m3u8
宁夏卫视,http://iptv.huuc.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://iptv.huuc.edu.cn/hls/gstv.m3u8
兵团卫视,http://iptv.huuc.edu.cn/hls/bttv.m3u8

北京卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000031556/bestzb/index.m3u8
东方卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014098/bestzb/index.m3u8
浙江卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000007275/bestzb/index.m3u8
江苏卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000019351/bestzb/index.m3u8
湖南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006692/bestzb/index.m3u8
广东卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014694/bestzb/index.m3u8
深圳卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000007410/bestzb/index.m3u8
四川卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006119/bestzb/index.m3u8
安徽卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000023002/bestzb/index.m3u8
兵团卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266005/ystenlive/index.m3u8
东南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000010584/bestzb/index.m3u8
甘肃卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031121/bestzb/index.m3u8
大湾区卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000011619/ystenlive/index.m3u8
广西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031118/bestzb/index.m3u8
贵州卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025843/bestzb/index.m3u8
海南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006211/bestzb/index.m3u8
河北卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031119/bestzb/index.m3u8
黑龙江卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025203/bestzb/index.m3u8
湖北卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014954/bestzb/index.m3u8
吉林卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031117/bestzb/index.m3u8
延边卫视,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000049/hnbblive/index.m3u8
江西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000011210/bestzb/index.m3u8
辽宁卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000011671/bestzb/index.m3u8
内蒙古卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000014080/hnbblive/index.m3u8
宁夏卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000031451/hnbblive/index.m3u8
青海卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000013359/hnbblive/index.m3u8
厦门卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266006/ystenlive/index.m3u8
山东卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000020424/bestzb/index.m3u8
山西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000006000040023/bestzb/index.m3u8
农林卫视,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000046/hnbblive/index.m3u8
陕西卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000007495/hnbblive/index.m3u8
康巴卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000003000001598/bestzb/index.m3u8
天津卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006827/bestzb/index.m3u8
西藏卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000015894/ystenlive/index.m3u8
新疆卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000029441/ystenlive/index.m3u8
云南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031120/bestzb/index.m3u8
重庆卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025797/bestzb/index.m3u8
安多卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266001/ystenlive/index.m3u8

东方卫视,https://www.shqsy.com/tv/zb/mg.php?id=东方卫视
广东卫视,https://www.shqsy.com/tv/zb/mg.php?id=广东卫视
江苏卫视,https://www.shqsy.com/tv/zb/mg.php?id=江苏卫视
江西卫视,https://www.shqsy.com/tv/zb/mg.php?id=江西卫视
陕西卫视,https://www.shqsy.com/tv/zb/mg.php?id=陕西卫视
大湾区卫视,https://www.shqsy.com/tv/zb/mg.php?id=大湾区卫视
海峡卫视,https://www.shqsy.com/tv/zb/mg.php?id=海峡卫视

浙江卫视,http://ms.fxim.net:808/hls/14/index.m3u8
江苏卫视,http://ms.fxim.net:808/hls/16/index.m3u8
东方卫视,http://ms.fxim.net:808/hls/17/index.m3u8
安徽卫视,http://ms.fxim.net:808/hls/18/index.m3u8
重庆卫视,http://ms.fxim.net:808/hls/19/index.m3u8
四川卫视,http://ms.fxim.net:808/hls/20/index.m3u8
天津卫视,http://ms.fxim.net:808/hls/21/index.m3u8
北京卫视,http://ms.fxim.net:808/hls/22/index.m3u8
青海卫视,http://ms.fxim.net:808/hls/23/index.m3u8
辽宁卫视,http://ms.fxim.net:808/hls/24/index.m3u8
江西卫视,http://ms.fxim.net:808/hls/25/index.m3u8
甘肃卫视,http://ms.fxim.net:808/hls/26/index.m3u8
广东卫视,http://ms.fxim.net:808/hls/27/index.m3u8
吉林卫视,http://ms.fxim.net:808/hls/28/index.m3u8
湖南卫视,http://ms.fxim.net:808/hls/29/index.m3u8
湖北卫视,http://ms.fxim.net:808/hls/30/index.m3u8
河北卫视,http://ms.fxim.net:808/hls/31/index.m3u8
河南卫视,http://ms.fxim.net:808/hls/32/index.m3u8

安徽卫视,http://jf.jxx2023.work:40446/tsfile/live/1007_1.m3u8
河南卫视,http://jf.jxx2023.work:40446/tsfile/live/0139_1.m3u8
北京卫视,http://jf.jxx2023.work:40446/tsfile/live/1031_1.m3u8
东方卫视,http://jf.jxx2023.work:40446/tsfile/live/0107_1.m3u8
天津卫视,http://jf.jxx2023.work:40446/tsfile/live/1081_1.m3u8
重庆卫视,http://jf.jxx2023.work:40446/tsfile/live/0142_1.m3u8
广东卫视,http://jf.jxx2023.work:40446/tsfile/live/1005_1.m3u8
深圳卫视,http://jf.jxx2023.work:40446/tsfile/live/0126_1.m3u8
浙江卫视,http://jf.jxx2023.work:40446/tsfile/live/1068_1.m3u8
江苏卫视,http://jf.jxx2023.work:40446/tsfile/live/0127_1.m3u8
山东卫视,http://jf.jxx2023.work:40446/tsfile/live/1078_1.m3u8
湖南卫视,http://jf.jxx2023.work:40446/tsfile/live/1042_1.m3u8
湖北卫视,http://jf.jxx2023.work:40446/tsfile/live/1018_1.m3u8
东南卫视,http://jf.jxx2023.work:40446/tsfile/live/0137_1.m3u8
广西卫视,http://jf.jxx2023.work:40446/tsfile/live/0113_1.m3u8
云南卫视,http://jf.jxx2023.work:40446/tsfile/live/0119_1.m3u8
贵州卫视,http://jf.jxx2023.work:40446/tsfile/live/0120_1.m3u8
四川卫视,http://jf.jxx2023.work:40446/tsfile/live/0123_1.m3u8
江西卫视,http://jf.jxx2023.work:40446/tsfile/live/0138_1.m3u8
山西卫视,http://jf.jxx2023.work:40446/tsfile/live/0118_1.m3u8
陕西卫视,http://jf.jxx2023.work:40446/tsfile/live/0136_1.m3u8
辽宁卫视,http://jf.jxx2023.work:40446/tsfile/live/0121_1.m3u8
吉林卫视,http://jf.jxx2023.work:40446/tsfile/live/0116_1.m3u8
黑龙江卫视,http://jf.jxx2023.work:40446/tsfile/live/1084_1.m3u8
河北卫视,http://jf.jxx2023.work:40446/tsfile/live/0117_1.m3u8
海南卫视,http://jf.jxx2023.work:40446/tsfile/live/1006_1.m3u8
西藏卫视,http://jf.jxx2023.work:40446/tsfile/live/0111_1.m3u8
甘肃卫视,http://jf.jxx2023.work:40446/tsfile/live/0141_1.m3u8
宁夏卫视,http://jf.jxx2023.work:40446/tsfile/live/0112_1.m3u8
青海卫视,http://jf.jxx2023.work:40446/tsfile/live/0140_1.m3u8
内蒙古卫视,http://jf.jxx2023.work:40446/tsfile/live/0109_1.m3u8
兵团卫视,http://jf.jxx2023.work:40446/tsfile/live/0115_1.m3u8
三沙卫视,http://jf.jxx2023.work:40446/tsfile/live/1035_1.m3u8
农林卫视,http://jf.jxx2023.work:40446/tsfile/live/1001_1.m3u8
康巴卫视,http://jf.jxx2023.work:40446/tsfile/live/0134_1.m3u8
安多卫视,http://jf.jxx2023.work:40446/tsfile/live/1004_1.m3u8

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8

IPv6,#genre#
CCTV-1综合,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPpqgHe3PQ5GNQoO-yUgA8C%2CEND
CCTV-3综艺,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E_6GNVcVOz9Xub8CclyMRUg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOIR_8g_qYRqpV5wTQqRILi%2CEND
CCTV-4中文国际,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0wP1dRMt9qCzHdvA65wh1w%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMcuN2HH7RLPyPHWOUWhSMk%2CEND
CCTV-5体育,http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eg-EQHTrpbCOxNSgnFRbr4w%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMNhcQPODGVtsSVKlB7CbAh%2CEND
CCTV-5+体育赛事,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Em70vyfVI_MkrcLYjHWnqOA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNlS0O1LA8iGydXPYujpRue%2CEND
CCTV-6电影,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226453/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ex56LEwufYqPdJkUNYhbNCw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOH2PzEhAK60LI_FWtVxfVS%2CEND
CCTV-7国防军事,http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EutDC7HLJc_gC0YdIDr7oig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPOHuulzlCcw92vP3vgYa4n%2CEND
CCTV-8电视剧,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226451/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EO_1NY-UghfdG_S28Bf_FPw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO1anuaDcpMt0_BMig72trX%2CEND
CCTV-10科教,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226449/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EzhRgoBfyoaW0eC2lnTJYAQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOxqyo6ss4VuHKCaIhF4e3B%2CEND
CCTV-11戏曲,http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0RcQQbNseiHvFO8XWf466A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
